Fast Class Number Computation (Euler product)
Range: d = 10000000000 to 100000000000 (90000000001 values)
GPU: 0

Primes loaded: 1229 (up to 9973)

[GPU 0] d=10000000000..10100000000 (0.1%, 30396434 disc, 96.6s)
[GPU 0] d=10100000000..10200000000 (0.2%, 60792818 disc, 193.5s)
[GPU 0] d=10200000000..10300000000 (0.3%, 91189293 disc, 290.5s)
[GPU 0] d=10300000000..10400000000 (0.4%, 121585691 disc, 387.7s)
[GPU 0] d=10400000000..10500000000 (0.6%, 151982208 disc, 485.2s)
[GPU 0] d=10500000000..10600000000 (0.7%, 182378558 disc, 582.8s)
[GPU 0] d=10600000000..10700000000 (0.8%, 212774890 disc, 680.7s)
[GPU 0] d=10700000000..10800000000 (0.9%, 243171277 disc, 778.7s)
[GPU 0] d=10800000000..10900000000 (1.0%, 273567696 disc, 876.9s)
[GPU 0] d=10900000000..11000000000 (1.1%, 303964103 disc, 975.4s)
[GPU 0] d=11000000000..11100000000 (1.2%, 334360551 disc, 1074.0s)
[GPU 0] d=11100000000..11200000000 (1.3%, 364756958 disc, 1172.7s)
[GPU 0] d=11200000000..11300000000 (1.4%, 395153375 disc, 1271.7s)
[GPU 0] d=11300000000..11400000000 (1.6%, 425549724 disc, 1370.9s)
[GPU 0] d=11400000000..11500000000 (1.7%, 455946082 disc, 1470.2s)
[GPU 0] d=11500000000..11600000000 (1.8%, 486342628 disc, 1569.6s)
[GPU 0] d=11600000000..11700000000 (1.9%, 516738928 disc, 1669.3s)
[GPU 0] d=11700000000..11800000000 (2.0%, 547135359 disc, 1769.1s)
[GPU 0] d=11800000000..11900000000 (2.1%, 577531781 disc, 1869.1s)
[GPU 0] d=11900000000..12000000000 (2.2%, 607928160 disc, 1969.2s)
[GPU 0] d=12000000000..12100000000 (2.3%, 638324582 disc, 2069.5s)
[GPU 0] d=12100000000..12200000000 (2.4%, 668721004 disc, 2170.0s)
[GPU 0] d=12200000000..12300000000 (2.6%, 699117322 disc, 2270.6s)
[GPU 0] d=12300000000..12400000000 (2.7%, 729513746 disc, 2371.3s)
[GPU 0] d=12400000000..12500000000 (2.8%, 759910101 disc, 2472.2s)
[GPU 0] d=12500000000..12600000000 (2.9%, 790306457 disc, 2573.3s)
[GPU 0] d=12600000000..12700000000 (3.0%, 820702852 disc, 2674.5s)
[GPU 0] d=12700000000..12800000000 (3.1%, 851099283 disc, 2775.8s)
[GPU 0] d=12800000000..12900000000 (3.2%, 881495699 disc, 2877.3s)
[GPU 0] d=12900000000..13000000000 (3.3%, 911892149 disc, 2979.0s)
[GPU 0] d=13000000000..13100000000 (3.4%, 942288518 disc, 3080.7s)
[GPU 0] d=13100000000..13200000000 (3.6%, 972684876 disc, 3182.6s)
[GPU 0] d=13200000000..13300000000 (3.7%, 1003081226 disc, 3284.6s)
[GPU 0] d=13300000000..13400000000 (3.8%, 1033477623 disc, 3386.8s)
[GPU 0] d=13400000000..13500000000 (3.9%, 1063873972 disc, 3489.1s)
[GPU 0] d=13500000000..13600000000 (4.0%, 1094270403 disc, 3591.5s)
[GPU 0] d=13600000000..13700000000 (4.1%, 1124666725 disc, 3694.1s)
[GPU 0] d=13700000000..13800000000 (4.2%, 1155063106 disc, 3796.8s)
[GPU 0] d=13800000000..13900000000 (4.3%, 1185459480 disc, 3899.6s)
[GPU 0] d=13900000000..14000000000 (4.4%, 1215855838 disc, 4002.5s)
[GPU 0] d=14000000000..14100000000 (4.6%, 1246252275 disc, 4105.5s)
[GPU 0] d=14100000000..14200000000 (4.7%, 1276648610 disc, 4208.7s)
[GPU 0] d=14200000000..14300000000 (4.8%, 1307045024 disc, 4312.0s)
[GPU 0] d=14300000000..14400000000 (4.9%, 1337441382 disc, 4415.4s)
[GPU 0] d=14400000000..14500000000 (5.0%, 1367837732 disc, 4518.9s)
[GPU 0] d=14500000000..14600000000 (5.1%, 1398234202 disc, 4622.5s)
[GPU 0] d=14600000000..14700000000 (5.2%, 1428630549 disc, 4726.3s)
[GPU 0] d=14700000000..14800000000 (5.3%, 1459026924 disc, 4830.1s)
[GPU 0] d=14800000000..14900000000 (5.4%, 1489423340 disc, 4934.1s)
[GPU 0] d=14900000000..15000000000 (5.6%, 1519819695 disc, 5038.1s)
[GPU 0] d=15000000000..15100000000 (5.7%, 1550216152 disc, 5142.3s)
[GPU 0] d=15100000000..15200000000 (5.8%, 1580612508 disc, 5246.6s)
[GPU 0] d=15200000000..15300000000 (5.9%, 1611008945 disc, 5351.0s)
[GPU 0] d=15300000000..15400000000 (6.0%, 1641405383 disc, 5455.4s)
[GPU 0] d=15400000000..15500000000 (6.1%, 1671801709 disc, 5560.0s)
[GPU 0] d=15500000000..15600000000 (6.2%, 1702198087 disc, 5664.7s)
[GPU 0] d=15600000000..15700000000 (6.3%, 1732594579 disc, 5769.5s)
[GPU 0] d=15700000000..15800000000 (6.4%, 1762990910 disc, 5874.4s)
[GPU 0] d=15800000000..15900000000 (6.6%, 1793387352 disc, 5979.4s)
[GPU 0] d=15900000000..16000000000 (6.7%, 1823783695 disc, 6084.5s)
[GPU 0] d=16000000000..16100000000 (6.8%, 1854180131 disc, 6189.7s)
[GPU 0] d=16100000000..16200000000 (6.9%, 1884576463 disc, 6295.0s)
[GPU 0] d=16200000000..16300000000 (7.0%, 1914972826 disc, 6400.4s)
[GPU 0] d=16300000000..16400000000 (7.1%, 1945369119 disc, 6505.8s)
[GPU 0] d=16400000000..16500000000 (7.2%, 1975765567 disc, 6611.4s)
[GPU 0] d=16500000000..16600000000 (7.3%, 2006161996 disc, 6717.1s)
[GPU 0] d=16600000000..16700000000 (7.4%, 2036558286 disc, 6822.8s)
[GPU 0] d=16700000000..16800000000 (7.6%, 2066954709 disc, 6928.6s)
[GPU 0] d=16800000000..16900000000 (7.7%, 2097351053 disc, 7034.6s)
[GPU 0] d=16900000000..17000000000 (7.8%, 2127747486 disc, 7140.6s)
[GPU 0] d=17000000000..17100000000 (7.9%, 2158143918 disc, 7246.7s)
[GPU 0] d=17100000000..17200000000 (8.0%, 2188540312 disc, 7356.0s)
[GPU 0] d=17200000000..17300000000 (8.1%, 2218936724 disc, 7478.1s)
[GPU 0] d=17300000000..17400000000 (8.2%, 2249333099 disc, 7600.2s)
[GPU 0] d=17400000000..17500000000 (8.3%, 2279729494 disc, 7722.5s)
[GPU 0] d=17500000000..17600000000 (8.4%, 2310125939 disc, 7844.9s)
[GPU 0] d=17600000000..17700000000 (8.6%, 2340522281 disc, 7967.5s)
[GPU 0] d=17700000000..17800000000 (8.7%, 2370918653 disc, 8090.1s)
[GPU 0] d=17800000000..17900000000 (8.8%, 2401315068 disc, 8212.9s)
[GPU 0] d=17900000000..18000000000 (8.9%, 2431711388 disc, 8335.8s)
[GPU 0] d=18000000000..18100000000 (9.0%, 2462107791 disc, 8458.9s)
[GPU 0] d=18100000000..18200000000 (9.1%, 2492504210 disc, 8582.0s)
[GPU 0] d=18200000000..18300000000 (9.2%, 2522900619 disc, 8705.3s)
[GPU 0] d=18300000000..18400000000 (9.3%, 2553297036 disc, 8828.7s)
[GPU 0] d=18400000000..18500000000 (9.4%, 2583693364 disc, 8952.2s)
[GPU 0] d=18500000000..18600000000 (9.6%, 2614089705 disc, 9075.9s)
[GPU 0] d=18600000000..18700000000 (9.7%, 2644486110 disc, 9213.1s)
[GPU 0] d=18700000000..18800000000 (9.8%, 2674882572 disc, 9336.9s)
[GPU 0] d=18800000000..18900000000 (9.9%, 2705278987 disc, 9460.9s)
[GPU 0] d=18900000000..19000000000 (10.0%, 2735675338 disc, 9585.0s)
[GPU 0] d=19000000000..19100000000 (10.1%, 2766071689 disc, 9709.2s)
[GPU 0] d=19100000000..19200000000 (10.2%, 2796468091 disc, 9833.6s)
[GPU 0] d=19200000000..19300000000 (10.3%, 2826864478 disc, 9958.0s)
[GPU 0] d=19300000000..19400000000 (10.4%, 2857260934 disc, 10082.6s)
