k_index,K,mean_lyapunov,std_lyapunov,min_lyapunov,max_lyapunov,fraction_positive
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000
1,0.0317460317,0.0008513829,0.0002258287,-0.0001474872,0.0017274279,0.996094
2,0.0634920635,0.0009728685,0.0002463224,-0.0005804278,0.0020505842,0.994141
3,0.0952380952,0.0010472515,0.0002483041,-0.0003648449,0.0019516516,0.998047
4,0.1269841270,0.0010913099,0.0002353688,-0.0000099334,0.0018556449,0.998047
5,0.1587301587,0.0011143927,0.0002595109,-0.0001794979,0.0018261232,0.994141
6,0.1904761905,0.0011572633,0.0002534811,0.0000903280,0.0018505498,1.000000
7,0.2222222222,0.0011835395,0.0002864811,-0.0001266724,0.0020604010,0.996094
8,0.2539682540,0.0011961521,0.0002681384,-0.0000343948,0.0022926287,0.998047
9,0.2857142857,0.0012191900,0.0002665651,-0.0000789430,0.0021957384,0.998047
10,0.3174603175,0.0012552403,0.0002575923,0.0000499588,0.0018793142,1.000000
11,0.3492063492,0.0013810306,0.0033543528,-0.0001097954,0.0769037328,0.996094
12,0.3809523810,0.0013061556,0.0008764668,0.0002590467,0.0196978769,1.000000
13,0.4126984127,0.0013186351,0.0011484765,-0.0010671494,0.0191927779,0.992188
14,0.4444444444,0.0016091505,0.0043825185,0.0000463930,0.0638540789,1.000000
15,0.4761904762,0.0016176478,0.0047317752,-0.0001630700,0.0737300057,0.994141
16,0.5079365079,0.0024626304,0.0092101532,-0.0007610048,0.1041557998,0.996094
17,0.5396825397,0.0028412273,0.0119654361,-0.0000239611,0.1246223236,0.998047
18,0.5714285714,0.0034053576,0.0144032123,-0.0001533758,0.1300161377,0.996094
19,0.6031746032,0.0030414845,0.0122644609,-0.0002622292,0.1182899984,0.994141
20,0.6349206349,0.0047736278,0.0178672061,-0.0001873044,0.1313270734,0.994141
21,0.6666666667,0.0054112828,0.0199015605,-0.0003759411,0.1420132000,0.992188
22,0.6984126984,0.0073674965,0.0240297909,-0.0000334471,0.1455004913,0.998047
23,0.7301587302,0.0080965907,0.0267426682,-0.0000575152,0.1708210102,0.996094
24,0.7619047619,0.0134237138,0.0356054032,-0.0003518247,0.1691299933,0.990234
25,0.7936507937,0.0151772180,0.0371177315,-0.0000417838,0.1711452671,0.998047
26,0.8253968254,0.0195558842,0.0427606709,-0.0001077251,0.1999138125,0.996094
27,0.8571428571,0.0222360186,0.0457475102,-0.0000753576,0.1891290827,0.998047
28,0.8888888889,0.0270296671,0.0504561068,-0.0001944220,0.1897398514,0.998047
29,0.9206349206,0.0346854406,0.0548583000,-0.0002634482,0.1969747073,0.998047
30,0.9523809524,0.0392796871,0.0582769657,-0.0003708818,0.2280156929,0.994141
31,0.9841269841,0.0490143183,0.0627039219,-0.0002076054,0.2102105241,0.998047
32,1.0158730159,0.0568499462,0.0686581510,-0.0000735563,0.2199717618,0.996094
33,1.0476190476,0.0648846594,0.0731579068,-0.0002267856,0.2315917011,0.996094
34,1.0793650794,0.0683771489,0.0748543477,-0.0003074370,0.2354552508,0.996094
35,1.1111111111,0.0805076757,0.0789925513,-0.0001446341,0.2403614419,0.994141
36,1.1428571429,0.0882283769,0.0855195946,0.0001997636,0.2646600351,1.000000
37,1.1746031746,0.1009994735,0.0889019402,-0.0000548083,0.2450171838,0.996094
38,1.2063492063,0.1087114157,0.0954014282,-0.0001138784,0.2457198198,0.998047
39,1.2380952381,0.1238195061,0.1025082871,0.0003924201,0.2635395671,1.000000
40,1.2698412698,0.1266354374,0.1054460348,-0.0001038735,0.2789322761,0.998047
41,1.3015873016,0.1481976865,0.1098145551,0.0000157128,0.2842263193,1.000000
42,1.3333333333,0.1493447875,0.1169465809,-0.0000498691,0.2941885270,0.998047
43,1.3650793651,0.1614779944,0.1234407696,-0.0002409325,0.2963569217,0.998047
44,1.3968253968,0.1614997918,0.1282285773,0.0000898460,0.3147820798,1.000000
45,1.4285714286,0.1789380010,0.1314982838,-0.0003439061,0.3180015650,0.998047
46,1.4603174603,0.1948659128,0.1349861392,0.0001211582,0.3306779250,1.000000
47,1.4920634921,0.2009100826,0.1374458759,0.0001194911,0.3501725912,1.000000
48,1.5238095238,0.2073350157,0.1397443028,-0.0000391203,0.3524167913,0.998047
49,1.5555555556,0.2197987391,0.1406686802,0.0000165432,0.3691963673,1.000000
50,1.5873015873,0.2337594128,0.1359979790,-0.0001842561,0.3749598298,0.996094
51,1.6190476190,0.2455103220,0.1418552617,0.0000738449,0.3827985744,1.000000
52,1.6507936508,0.2416141408,0.1525067686,-0.0001694492,0.3923507827,0.996094
53,1.6825396825,0.2667120770,0.1526270447,0.0002305250,0.4117790813,1.000000
54,1.7142857143,0.2551631816,0.1661784082,-0.0000593301,0.4221403262,0.998047
55,1.7460317460,0.2629056634,0.1730823182,-0.0002240120,0.4238935553,0.998047
56,1.7777777778,0.2856216880,0.1733802770,0.0001290473,0.4425835784,1.000000
57,1.8095238095,0.2820915491,0.1802597338,0.0001322649,0.4470709310,1.000000
58,1.8412698413,0.3078970607,0.1777372052,0.0000914451,0.4509283714,1.000000
59,1.8730158730,0.3066000801,0.1855806511,0.0000765527,0.4721244598,1.000000
60,1.9047619048,0.3079660579,0.1909669539,0.0002556965,0.4709030413,1.000000
61,1.9365079365,0.3300166958,0.1844616895,0.0003671084,0.4807294490,1.000000
62,1.9682539683,0.3296331693,0.1939878587,-0.0000293355,0.4991632460,0.998047
63,2.0000000000,0.3393553937,0.1927521582,0.0000510449,0.5017055876,1.000000
