step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,2.0000000000,39.4784176044,0.0000000000
6,0.006000,0.0000000000,-nan,8588823191972126720.0000000000
12,0.012000,0.0000000000,-nan,8588823191972126720.0000000000
18,0.018000,0.0000000000,-nan,8588823191972126720.0000000000
24,0.024000,0.0000000000,-nan,8588823191972126720.0000000000
30,0.030000,0.0000000000,-nan,8588823191972126720.0000000000
36,0.036000,0.0000000000,-nan,8588823191972126720.0000000000
42,0.042000,0.0000000000,-nan,8588823191972126720.0000000000
48,0.048000,0.0000000000,-nan,8588823191972126720.0000000000
54,0.054000,0.0000000000,-nan,8588823191972126720.0000000000
60,0.060000,0.0000000000,-nan,8588823191972126720.0000000000
66,0.066000,0.0000000000,-nan,8588823191972126720.0000000000
72,0.072000,0.0000000000,-nan,8588823191972126720.0000000000
78,0.078000,0.0000000000,-nan,8588823191972126720.0000000000
84,0.084000,0.0000000000,-nan,8588823191972126720.0000000000
90,0.090000,0.0000000000,-nan,8588823191972126720.0000000000
96,0.096000,0.0000000000,-nan,8588823191972126720.0000000000
102,0.102000,0.0000000000,-nan,8588823191972126720.0000000000
108,0.108000,0.0000000000,-nan,8588823191972126720.0000000000
114,0.114000,0.0000000000,-nan,8588823191972126720.0000000000
120,0.120000,0.0000000000,-nan,8588823191972126720.0000000000
126,0.126000,0.0000000000,-nan,8588823191972126720.0000000000
132,0.132000,0.0000000000,-nan,8588823191972126720.0000000000
138,0.138000,0.0000000000,-nan,8588823191972126720.0000000000
144,0.144000,0.0000000000,-nan,8588823191972126720.0000000000
150,0.150000,0.0000000000,-nan,8588823191972126720.0000000000
156,0.156000,0.0000000000,-nan,8588823191972126720.0000000000
162,0.162000,0.0000000000,-nan,8588823191972126720.0000000000
168,0.168000,0.0000000000,-nan,8588823191972126720.0000000000
174,0.174000,0.0000000000,-nan,8588823191972126720.0000000000
180,0.180000,0.0000000000,-nan,8588823191972126720.0000000000
186,0.186000,0.0000000000,-nan,8588823191972126720.0000000000
192,0.192000,0.0000000000,-nan,8588823191972126720.0000000000
198,0.198000,0.0000000000,-nan,8588823191972126720.0000000000
204,0.204000,0.0000000000,-nan,8588823191972126720.0000000000
210,0.210000,0.0000000000,-nan,8588823191972126720.0000000000
216,0.216000,0.0000000000,-nan,8588823191972126720.0000000000
222,0.222000,0.0000000000,-nan,8588823191972126720.0000000000
228,0.228000,0.0000000000,-nan,8588823191972126720.0000000000
234,0.234000,0.0000000000,-nan,8588823191972126720.0000000000
240,0.240000,0.0000000000,-nan,8588823191972126720.0000000000
246,0.246000,0.0000000000,-nan,8588823191972126720.0000000000
252,0.252000,0.0000000000,-nan,8588823191972126720.0000000000
258,0.258000,0.0000000000,-nan,8588823191972126720.0000000000
264,0.264000,0.0000000000,-nan,8588823191972126720.0000000000
270,0.270000,0.0000000000,-nan,8588823191972126720.0000000000
276,0.276000,0.0000000000,-nan,8588823191972126720.0000000000
282,0.282000,0.0000000000,-nan,8588823191972126720.0000000000
288,0.288000,0.0000000000,-nan,8588823191972126720.0000000000
294,0.294000,0.0000000000,-nan,8588823191972126720.0000000000
300,0.300000,0.0000000000,-nan,8588823191972126720.0000000000
306,0.306000,0.0000000000,-nan,8588823191972126720.0000000000
312,0.312000,0.0000000000,-nan,8588823191972126720.0000000000
318,0.318000,0.0000000000,-nan,8588823191972126720.0000000000
324,0.324000,0.0000000000,-nan,8588823191972126720.0000000000
330,0.330000,0.0000000000,-nan,8588823191972126720.0000000000
336,0.336000,0.0000000000,-nan,8588823191972126720.0000000000
342,0.342000,0.0000000000,-nan,8588823191972126720.0000000000
348,0.348000,0.0000000000,-nan,8588823191972126720.0000000000
354,0.354000,0.0000000000,-nan,8588823191972126720.0000000000
360,0.360000,0.0000000000,-nan,8588823191972126720.0000000000
366,0.366000,0.0000000000,-nan,8588823191972126720.0000000000
372,0.372000,0.0000000000,-nan,8588823191972126720.0000000000
378,0.378000,0.0000000000,-nan,8588823191972126720.0000000000
384,0.384000,0.0000000000,-nan,8588823191972126720.0000000000
390,0.390000,0.0000000000,-nan,8588823191972126720.0000000000
396,0.396000,0.0000000000,-nan,8588823191972126720.0000000000
402,0.402000,0.0000000000,-nan,8588823191972126720.0000000000
408,0.408000,0.0000000000,-nan,8588823191972126720.0000000000
414,0.414000,0.0000000000,-nan,8588823191972126720.0000000000
420,0.420000,0.0000000000,-nan,8588823191972126720.0000000000
426,0.426000,0.0000000000,-nan,8588823191972126720.0000000000
432,0.432000,0.0000000000,-nan,8588823191972126720.0000000000
438,0.438000,0.0000000000,-nan,8588823191972126720.0000000000
444,0.444000,0.0000000000,-nan,8588823191972126720.0000000000
450,0.450000,0.0000000000,-nan,8588823191972126720.0000000000
456,0.456000,0.0000000000,-nan,8588823191972126720.0000000000
462,0.462000,0.0000000000,-nan,8588823191972126720.0000000000
468,0.468000,0.0000000000,-nan,8588823191972126720.0000000000
474,0.474000,0.0000000000,-nan,8588823191972126720.0000000000
480,0.480000,0.0000000000,-nan,8588823191972126720.0000000000
486,0.486000,0.0000000000,-nan,8588823191972126720.0000000000
492,0.492000,0.0000000000,-nan,8588823191972126720.0000000000
498,0.498000,0.0000000000,-nan,8588823191972126720.0000000000
500,0.500000,0.0000000000,-nan,8588823191972126720.0000000000
