step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,4.0000000000,744.1506403268,0.0000000000
11,0.011000,4.0048754028,744.1495692093,0.0440243893
22,0.022000,4.0097372494,744.1510511721,0.0881023403
33,0.033000,4.0145854734,744.1550858400,0.1322337036
44,0.044000,4.0194200091,744.1616726803,0.1764183290
55,0.055000,4.0243341999,744.1708110021,0.2206561148
66,0.066000,4.0296464854,744.1824999582,0.2649503635
77,0.077000,4.0349911739,744.1967385435,0.3093030271
88,0.088000,4.0404557860,744.2135255959,0.3537152650
99,0.099000,4.0459072690,744.2328597961,0.3981875480
110,0.110000,4.0513454485,744.2547396693,0.4427197311
121,0.121000,4.0567701562,744.2791635831,0.4873116669
132,0.132000,4.0621812301,744.3061297488,0.5319632064
143,0.143000,4.0675785144,744.3356362220,0.5766741990
154,0.154000,4.0729618598,744.3676809028,0.6214444921
165,0.165000,4.0783311226,744.4022615354,0.6662739317
176,0.176000,4.0836861654,744.4393757086,0.7111623623
187,0.187000,4.0890268564,744.4790208568,0.7561096267
198,0.198000,4.0943530690,744.5211942595,0.8011155664
209,0.209000,4.0996646822,744.5658930427,0.8461800215
220,0.220000,4.1049615794,744.6131141777,0.8913028309
231,0.231000,4.1102436489,744.6628544834,0.9364838322
242,0.242000,4.1155107829,744.7151106250,0.9817228616
253,0.253000,4.1207628778,744.7698791159,1.0270197544
264,0.264000,4.1259998333,744.8271563168,1.0723743447
275,0.275000,4.1312215525,744.8869384375,1.1177864653
286,0.286000,4.1364279414,744.9492215362,1.1632559483
297,0.297000,4.1416189088,745.0140015213,1.2087826246
308,0.308000,4.1467943657,745.0812741506,1.2543663240
319,0.319000,4.1519542253,745.1510350330,1.3000068755
330,0.330000,4.1570984027,745.2232796285,1.3457041072
341,0.341000,4.1622268147,745.2980032487,1.3914578460
352,0.352000,4.1673393795,745.3752010574,1.4372679183
363,0.363000,4.1724360164,745.4548680721,1.4831341491
374,0.374000,4.1775166462,745.5369991640,1.5290563631
385,0.385000,4.1825811901,745.6215890581,1.5750343836
396,0.396000,4.1876295703,745.7086323351,1.6210680333
407,0.407000,4.1926617097,745.7981234313,1.6671571340
418,0.418000,4.1976775314,745.8900566395,1.7133015068
429,0.429000,4.2026769592,745.9844261096,1.7595009718
440,0.440000,4.2076599169,746.0812258499,1.8057553481
451,0.451000,4.2126263286,746.1804497275,1.8520644543
462,0.462000,4.2175761185,746.2820914692,1.8984281080
473,0.473000,4.2225092106,746.3861446623,1.9448461260
484,0.484000,4.2274255291,746.4926027548,1.9913183242
495,0.495000,4.2323249979,746.6014590577,2.0378445177
506,0.506000,4.2372075409,746.7127067448,2.0844245208
517,0.517000,4.2420730816,746.8263388535,2.1310581470
528,0.528000,4.2469215433,746.9423482866,2.1777452087
539,0.539000,4.2517528488,747.0607278117,2.2244855179
550,0.550000,4.2565669208,747.1814700643,2.2712788853
561,0.561000,4.2613636815,747.3045675470,2.3181251210
572,0.572000,4.2661430526,747.4300126304,2.3650240342
583,0.583000,4.2709049554,747.5577975557,2.4119754332
594,0.594000,4.2756493107,747.6879144339,2.4589791255
605,0.605000,4.2803760387,747.8203552482,2.5060349176
616,0.616000,4.2850850590,747.9551118540,2.5531426152
627,0.627000,4.2897762909,748.0921759806,2.6003020233
638,0.638000,4.2944496526,748.2315392322,2.6475129456
649,0.649000,4.2991050620,748.3731930881,2.6947751851
660,0.660000,4.3037424361,748.5171289050,2.7420885441
671,0.671000,4.3083616913,748.6633379182,2.7894528237
682,0.682000,4.3129627433,748.8118112408,2.8368678242
693,0.693000,4.3175455068,748.9625398668,2.8843333448
704,0.704000,4.3221098958,749.1155146716,2.9318491841
715,0.715000,4.3266558236,749.2707264134,2.9794151394
726,0.726000,4.3311832023,749.4281657332,3.0270310072
737,0.737000,4.3356919434,749.5878231580,3.0746965832
748,0.748000,4.3401819575,749.7496890998,3.1224116617
759,0.759000,4.3446531540,749.9137538583,3.1701760363
770,0.770000,4.3491054416,750.0800076221,3.2179894997
781,0.781000,4.3535387280,750.2484404685,3.2658518433
792,0.792000,4.3579529197,750.4190423661,3.3137628577
803,0.803000,4.3623479224,750.5918031768,3.3617223323
814,0.814000,4.3667236407,750.7667126543,3.4097300556
825,0.825000,4.3710799783,750.9437604476,3.4577858150
836,0.836000,4.3754168377,751.1229361022,3.5058893968
847,0.847000,4.3797341205,751.3042290598,3.5540405863
858,0.858000,4.3840317269,751.4876286620,3.6022391676
869,0.869000,4.3883095566,751.6731241490,3.6504849237
880,0.880000,4.3925675076,751.8607046629,3.6987776367
891,0.891000,4.3968054774,752.0503592480,3.7471170874
902,0.902000,4.4010233619,752.2420768529,3.7955030554
913,0.913000,4.4052210562,752.4358463310,3.8439353192
924,0.924000,4.4093984542,752.6316564422,3.8924136563
935,0.935000,4.4135554487,752.8294958545,3.9409378429
946,0.946000,4.4176919313,753.0293531453,3.9895076539
957,0.957000,4.4218077926,753.2312168021,4.0381228633
968,0.968000,4.4259029220,753.4350752249,4.0867832436
979,0.979000,4.4299772076,753.6409167270,4.1354885661
990,0.990000,4.4340305365,753.8487295366,4.1842386012
1000,1.000000,4.4376970995,754.0393509367,4.2285954205
