step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,0.8743314636,0.0283413315,0.0000000000
11,0.011000,0.8744073312,0.0283413030,0.0096180255
22,0.022000,0.8744831510,0.0283412750,0.0192368853
33,0.033000,0.8745589228,0.0283412474,0.0288565788
44,0.044000,0.8746346466,0.0283412203,0.0384771056
55,0.055000,0.8747103223,0.0283411937,0.0480984652
66,0.066000,0.8747859500,0.0283411675,0.0577206569
77,0.077000,0.8748615296,0.0283411418,0.0673436803
88,0.088000,0.8749370609,0.0283411166,0.0769675348
99,0.099000,0.8750125441,0.0283410918,0.0865922200
110,0.110000,0.8750879790,0.0283410676,0.0962177352
121,0.121000,0.8751633656,0.0283410437,0.1058440799
132,0.132000,0.8752387038,0.0283410204,0.1154712537
143,0.143000,0.8753139937,0.0283409975,0.1250992559
154,0.154000,0.8753892351,0.0283409751,0.1347280861
165,0.165000,0.8754644280,0.0283409532,0.1443577437
176,0.176000,0.8755395724,0.0283409317,0.1539882281
187,0.187000,0.8756146682,0.0283409107,0.1636195390
198,0.198000,0.8756897154,0.0283408902,0.1732516756
209,0.209000,0.8757647140,0.0283408701,0.1828846375
220,0.220000,0.8758396638,0.0283408505,0.1925184242
231,0.231000,0.8759145649,0.0283408314,0.2021530350
242,0.242000,0.8759894172,0.0283408128,0.2117884695
253,0.253000,0.8760642206,0.0283407946,0.2214247272
264,0.264000,0.8761389752,0.0283407769,0.2310618074
275,0.275000,0.8762136808,0.0283407596,0.2406997097
286,0.286000,0.8762883374,0.0283407429,0.2503384335
297,0.297000,0.8763629450,0.0283407266,0.2599779783
308,0.308000,0.8764375035,0.0283407107,0.2696183436
319,0.319000,0.8765120129,0.0283406954,0.2792595287
330,0.330000,0.8765864732,0.0283406805,0.2889015332
341,0.341000,0.8766608842,0.0283406660,0.2985443565
352,0.352000,0.8767352460,0.0283406521,0.3081879981
363,0.363000,0.8768095584,0.0283406386,0.3178324574
374,0.374000,0.8768838216,0.0283406256,0.3274777339
385,0.385000,0.8769580353,0.0283406130,0.3371238270
396,0.396000,0.8770321996,0.0283406009,0.3467707363
407,0.407000,0.8771063143,0.0283405893,0.3564184611
418,0.418000,0.8771803796,0.0283405782,0.3660670009
429,0.429000,0.8772543952,0.0283405675,0.3757163552
440,0.440000,0.8773283613,0.0283405573,0.3853665234
451,0.451000,0.8774022776,0.0283405476,0.3950175051
462,0.462000,0.8774761442,0.0283405383,0.4046692995
473,0.473000,0.8775499611,0.0283405295,0.4143219062
484,0.484000,0.8776237281,0.0283405212,0.4239753247
495,0.495000,0.8776974453,0.0283405134,0.4336295543
506,0.506000,0.8777711125,0.0283405060,0.4432845946
517,0.517000,0.8778447298,0.0283404990,0.4529404449
528,0.528000,0.8779182971,0.0283404926,0.4625971049
539,0.539000,0.8779918143,0.0283404866,0.4722545738
550,0.550000,0.8780652814,0.0283404811,0.4819128511
561,0.561000,0.8781386984,0.0283404761,0.4915719363
572,0.572000,0.8782120651,0.0283404715,0.5012318289
583,0.583000,0.8782853816,0.0283404674,0.5108925282
594,0.594000,0.8783586478,0.0283404638,0.5205540338
605,0.605000,0.8784318637,0.0283404606,0.5302163450
616,0.616000,0.8785050291,0.0283404579,0.5398794614
627,0.627000,0.8785781441,0.0283404557,0.5495433824
638,0.638000,0.8786512086,0.0283404539,0.5592081073
649,0.649000,0.8787242226,0.0283404526,0.5688736357
660,0.660000,0.8787971860,0.0283404518,0.5785399670
671,0.671000,0.8788700987,0.0283404515,0.5882071007
682,0.682000,0.8789429608,0.0283404516,0.5978750361
693,0.693000,0.8790157721,0.0283404522,0.6075437728
704,0.704000,0.8790885326,0.0283404532,0.6172133101
715,0.715000,0.8791612423,0.0283404548,0.6268836476
726,0.726000,0.8792339011,0.0283404568,0.6365547846
737,0.737000,0.8793065090,0.0283404592,0.6462267206
748,0.748000,0.8793790658,0.0283404622,0.6558994550
759,0.759000,0.8794515717,0.0283404656,0.6655729873
770,0.770000,0.8795240264,0.0283404694,0.6752473169
781,0.781000,0.8795964301,0.0283404738,0.6849224433
792,0.792000,0.8796687825,0.0283404786,0.6945983658
803,0.803000,0.8797410837,0.0283404839,0.7042750840
814,0.814000,0.8798133336,0.0283404896,0.7139525972
825,0.825000,0.8798855322,0.0283404958,0.7236309049
836,0.836000,0.8799576794,0.0283405025,0.7333100066
847,0.847000,0.8800297752,0.0283405097,0.7429899016
858,0.858000,0.8801018195,0.0283405173,0.7526705894
869,0.869000,0.8801738122,0.0283405254,0.7623520694
880,0.880000,0.8802457534,0.0283405340,0.7720343411
891,0.891000,0.8803176429,0.0283405430,0.7817174039
902,0.902000,0.8803894808,0.0283405525,0.7914012572
913,0.913000,0.8804612669,0.0283405625,0.8010859004
924,0.924000,0.8805330012,0.0283405729,0.8107713331
935,0.935000,0.8806046836,0.0283405838,0.8204575546
946,0.946000,0.8806763142,0.0283405952,0.8301445643
957,0.957000,0.8807478928,0.0283406070,0.8398323617
968,0.968000,0.8808194195,0.0283406193,0.8495209462
979,0.979000,0.8808908941,0.0283406321,0.8592103172
990,0.990000,0.8809623166,0.0283406454,0.8689004742
1000,1.000000,0.8810272009,0.0283406578,0.8777103894
