step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,4.9267086683,50.4080110886,0.0000000000
3,0.006000,4.9267337647,50.4070305265,0.0295603021
6,0.012000,4.9267591924,50.4058180559,0.0591207554
9,0.018000,4.9267849467,50.4043737156,0.0886813619
12,0.024000,4.9268110227,50.4026975494,0.1182421236
15,0.030000,4.9268374148,50.4007896067,0.1478030423
18,0.036000,4.9268641169,50.3986499418,0.1773641201
21,0.042000,4.9268911222,50.3962786143,0.2069253587
24,0.048000,4.9269184236,50.3936756888,0.2364867599
27,0.054000,4.9269460135,50.3908412353,0.2660483255
30,0.060000,4.9269738834,50.3877753289,0.2956100572
33,0.066000,4.9270020246,50.3844780498,0.3251719566
36,0.072000,4.9270304278,50.3809494834,0.3547340255
39,0.078000,4.9270590830,50.3771897204,0.3842962652
42,0.084000,4.9270879800,50.3731988565,0.4138586774
45,0.090000,4.9271171076,50.3689769925,0.4434212635
48,0.096000,4.9271464545,50.3645242345,0.4729840247
51,0.102000,4.9271760086,50.3598406936,0.5025469625
54,0.108000,4.9272057572,50.3549264862,0.5321100779
57,0.114000,4.9272356873,50.3497817337,0.5616733723
60,0.120000,4.9272657852,50.3444065627,0.5912368465
63,0.126000,4.9272960367,50.3388011048,0.6208005016
66,0.132000,4.9273264269,50.3329654968,0.6503643386
69,0.138000,4.9273569407,50.3268998806,0.6799283581
72,0.144000,4.9273875622,50.3206044032,0.7094925610
75,0.150000,4.9274184219,50.3140792167,0.7390569479
78,0.156000,4.9274494469,50.3073244781,0.7686215204
81,0.162000,4.9274805487,50.3003403497,0.7981862793
84,0.168000,4.9275117098,50.2931269988,0.8277512249
87,0.174000,4.9275429117,50.2856845978,0.8573163575
90,0.180000,4.9275741357,50.2780133239,0.8868816774
93,0.186000,4.9276053624,50.2701133597,0.9164471847
96,0.192000,4.9276365719,50.2619848925,0.9460128793
99,0.198000,4.9276677437,50.2536281149,0.9755787611
102,0.204000,4.9276988567,50.2450432243,1.0051448298
105,0.210000,4.9277298895,50.2362304232,1.0347110851
108,0.216000,4.9277608198,50.2271899190,1.0642775263
111,0.222000,4.9277916250,50.2179219242,1.0938441529
114,0.228000,4.9278222819,50.2084266563,1.1234109640
117,0.234000,4.9278527667,50.1987043375,1.1529779588
120,0.240000,4.9278830550,50.1887551952,1.1825451361
123,0.246000,4.9279131220,50.1785794617,1.2121124946
126,0.252000,4.9279429422,50.1681773741,1.2416800331
129,0.258000,4.9279724896,50.1575491745,1.2712477500
132,0.264000,4.9280017376,50.1466951099,1.3008156436
135,0.270000,4.9280306591,50.1356154322,1.3303837120
138,0.276000,4.9280592264,50.1243103982,1.3599519532
141,0.282000,4.9280874113,50.1127802694,1.3895203651
144,0.288000,4.9281151849,50.1010253123,1.4190889453
147,0.294000,4.9281425178,50.0890457983,1.4486576913
150,0.300000,4.9281693802,50.0768420034,1.4782266004
153,0.306000,4.9281957414,50.0644142087,1.5077956696
156,0.312000,4.9282215705,50.0517626998,1.5373648959
159,0.318000,4.9282468357,50.0388877673,1.5669342762
162,0.324000,4.9282715049,50.0257897064,1.5965038068
165,0.330000,4.9282955452,50.0124688173,1.6260734842
168,0.336000,4.9283189234,49.9989254047,1.6556433045
171,0.342000,4.9283416055,49.9851597780,1.6852132637
174,0.348000,4.9283635569,49.9711722517,1.7147833576
177,0.354000,4.9283847427,49.9569631445,1.7443535817
180,0.360000,4.9284051271,49.9425327801,1.7739239313
183,0.366000,4.9284246740,49.9278814868,1.8034944015
186,0.372000,4.9284433466,49.9130095975,1.8330649873
189,0.378000,4.9284611076,49.8979174496,1.8626356833
192,0.384000,4.9284779188,49.8826053855,1.8922064840
195,0.390000,4.9284937420,49.8670737519,1.9217773836
198,0.396000,4.9285085379,49.8513229001,1.9513483761
200,0.400000,4.9285178115,49.8407007199,1.9710624196
