========================================
Class Numbers of Real Quadratic Fields v2
Range: [6, 100000000000)
========================================

Primes: 9592 (up to 99991)
GPUs: 1

[GPU 0] 0.6% | 182378111 discriminants | d ~ 5.70e+08
[GPU 0] 1.2% | 364756262 discriminants | d ~ 1.17e+09
[GPU 0] 1.8% | 547134444 discriminants | d ~ 1.77e+09
[GPU 0] 2.4% | 729512581 discriminants | d ~ 2.37e+09
[GPU 0] 3.0% | 911890664 discriminants | d ~ 2.97e+09
[GPU 0] 3.6% | 1094268719 discriminants | d ~ 3.57e+09
[GPU 0] 4.2% | 1276646897 discriminants | d ~ 4.17e+09
[GPU 0] 4.8% | 1459025126 discriminants | d ~ 4.77e+09
[GPU 0] 5.4% | 1641403187 discriminants | d ~ 5.37e+09
[GPU 0] 6.0% | 1823781325 discriminants | d ~ 5.97e+09
[GPU 0] 6.6% | 2006159364 discriminants | d ~ 6.57e+09
[GPU 0] 7.2% | 2188537422 discriminants | d ~ 7.17e+09
[GPU 0] 7.8% | 2370915788 discriminants | d ~ 7.77e+09
[GPU 0] 8.4% | 2553293879 discriminants | d ~ 8.37e+09
[GPU 0] 9.0% | 2735672029 discriminants | d ~ 8.97e+09
[GPU 0] 9.6% | 2918049982 discriminants | d ~ 9.57e+09
[GPU 0] 10.2% | 3100428118 discriminants | d ~ 1.02e+10
[GPU 0] 10.8% | 3282806325 discriminants | d ~ 1.08e+10
[GPU 0] 11.4% | 3465184518 discriminants | d ~ 1.14e+10
[GPU 0] 12.0% | 3647562718 discriminants | d ~ 1.20e+10
[GPU 0] 12.6% | 3829940786 discriminants | d ~ 1.26e+10
[GPU 0] 13.2% | 4012318983 discriminants | d ~ 1.32e+10
[GPU 0] 13.8% | 4194696994 discriminants | d ~ 1.38e+10
[GPU 0] 14.4% | 4377075053 discriminants | d ~ 1.44e+10
[GPU 0] 15.0% | 4559453147 discriminants | d ~ 1.50e+10
[GPU 0] 15.6% | 4741831333 discriminants | d ~ 1.56e+10
[GPU 0] 16.2% | 4924209511 discriminants | d ~ 1.62e+10
[GPU 0] 16.8% | 5106587549 discriminants | d ~ 1.68e+10
[GPU 0] 17.4% | 5288965751 discriminants | d ~ 1.74e+10
[GPU 0] 18.0% | 5471343851 discriminants | d ~ 1.80e+10
[GPU 0] 18.6% | 5653721977 discriminants | d ~ 1.86e+10
