k,p_k,Delta_k,ratio,log_ratio,trend
1,22,1.198717717715873e+00,6.445518716306341e-01,-0.190742,SHRINK
2,333,3.480288917195638e-04,2.903343185606068e-04,-3.537102,SHRINK
3,355,2.459818122070685e+01,7.067856090674127e+04,4.849288,GROW
4,103993,2.429897187097985e-06,9.878361189779702e-08,-7.005315,SHRINK
5,104348,7.253994498439991e-06,2.985309229113271e+00,0.474989,GROW
6,208341,1.679467865687937e-06,2.315231788567134e-01,-0.635406,SHRINK
7,312689,3.887377728629760e-06,2.314648471727339e+00,0.364485,GROW
8,833719,3.225669733793750e-07,8.297803709779314e-02,-1.081037,SHRINK
9,1146408,1.921112540037497e-06,5.955701291768803e+00,0.774933,GROW
10,4272943,4.243826846023466e-08,2.209046454894638e-02,-1.655795,SHRINK
11,5419351,4.305470632992471e-06,1.014525518878501e+02,2.006263,GROW
12,80143857,8.901452783399888e-09,2.067474973627454e-03,-2.684560,SHRINK
13,165707065,2.934031112950316e-09,3.296126131705066e-01,-0.481996,SHRINK
14,245850922,1.797861565190294e-09,6.127615884013081e-01,-0.212708,SHRINK
15,411557987,2.229272624044192e-09,1.239957885082346e+00,0.093407,GROW
16,1068966896,7.502042453938279e-10,3.365242264684789e-01,-0.472984,SHRINK
17,2549491779,3.014054563425441e-10,4.017645303837464e-01,-0.396028,SHRINK
18,6167950454,1.900793013541115e-10,6.306431995646701e-01,-0.200216,SHRINK
