sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
0,39,1,6,0,107.809830,20.115816,39
1,37,3,4,1,134.227341,12.691667,37
2,49,8,6,2,92.531189,11.155773,49
3,29,6,4,1,145.190094,12.691667,29
4,38,5,5,2,135.409393,26.556915,38
5,46,6,5,2,100.262199,12.691667,46
6,55,8,8,1,100.313324,12.011325,55
7,39,5,5,0,124.457932,20.115816,39
8,41,5,6,1,101.013779,12.011325,41
9,37,4,5,2,109.950058,12.691667,37
10,39,7,5,1,119.835045,12.691667,39
11,36,6,4,2,126.126137,12.691667,36
12,28,3,3,2,144.343063,43.905952,28
13,46,6,3,0,109.821236,25.902905,46
14,43,6,7,3,91.320557,11.155773,43
15,38,4,5,1,102.598320,11.155773,38
16,44,9,9,3,91.539261,10.349608,44
17,39,4,3,0,118.904671,35.447258,39
18,33,2,3,0,116.263428,12.691667,33
19,39,4,8,2,94.134308,12.011325,39
20,28,3,3,1,142.271561,20.115816,28
21,42,8,8,1,96.776718,12.011325,42
22,35,6,3,1,137.896698,63.146057,35
23,43,6,5,0,117.534340,29.469137,43
24,46,7,7,2,90.380447,12.011325,46
25,39,5,4,2,109.468361,20.115816,39
26,40,5,7,1,103.749573,12.691667,40
27,40,6,4,2,112.668365,12.691667,40
28,34,2,2,0,130.248566,51.377155,34
29,37,5,5,1,107.897453,19.037500,37
30,31,2,5,0,130.443741,20.115816,31
31,43,4,4,2,119.657333,17.681482,43
32,35,3,4,2,101.337654,20.115816,35
33,41,5,5,1,119.668953,19.037500,41
34,40,6,4,0,112.648849,11.155773,40
35,41,8,4,0,108.496536,27.046902,41
36,43,8,6,2,108.589981,11.155773,43
37,37,3,6,1,114.340652,41.281269,37
38,30,6,4,2,106.129532,17.681482,30
39,44,6,9,2,109.424568,11.155773,44
40,33,7,3,1,120.825134,20.115816,33
41,38,1,5,0,140.190353,29.469137,38
42,35,7,6,1,103.792519,12.691667,35
43,42,3,3,0,116.335480,12.691667,42
44,41,6,4,1,96.510498,34.864231,41
45,38,5,7,1,86.463051,12.011325,38
46,33,6,5,2,161.547119,11.155773,33
47,43,4,6,1,104.804359,12.691667,43
48,42,4,4,2,103.108063,19.037500,42
49,33,4,2,0,144.053604,35.630013,33
50,32,5,8,1,138.269104,15.270006,32
51,44,5,6,0,108.826851,12.691667,44
52,35,3,3,0,137.081985,12.691667,35
53,31,3,4,0,141.307770,46.964748,31
54,41,5,4,2,101.921303,11.155773,41
55,33,6,5,3,104.908470,12.691667,33
56,40,8,6,1,114.990707,47.880447,40
57,37,7,4,1,96.122635,29.469137,37
58,36,5,4,0,128.403687,29.469137,36
59,34,5,5,2,135.909729,59.506462,34
60,46,9,7,2,97.412842,12.691667,46
61,30,6,3,0,126.525772,56.525314,30
62,48,3,9,2,92.884491,16.403742,48
63,42,3,5,1,110.459404,11.155773,42
