sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
0,79,2,9,0,156.342148,23.624687,79
1,73,4,3,1,162.716858,12.691667,73
2,65,3,5,0,158.092072,12.011325,65
3,74,7,1,0,194.078033,46.964748,74
4,73,6,7,1,167.251434,33.720055,73
5,87,5,5,0,159.237701,27.046902,87
6,60,3,5,0,178.488998,38.267429,60
7,74,7,7,2,183.005264,12.691667,74
8,65,4,4,1,172.551071,12.691667,65
9,73,5,2,0,165.964508,43.302418,73
10,72,3,4,0,187.186691,51.023239,72
11,83,10,8,2,157.491272,12.691667,83
12,74,5,13,2,157.741699,12.691667,74
13,68,4,3,1,195.295807,12.691667,68
14,68,4,5,0,186.632690,53.913280,68
15,80,8,8,3,156.689209,12.011325,80
16,72,7,9,2,163.392120,12.691667,72
17,61,5,5,2,194.274414,17.681482,61
18,80,6,5,0,148.723175,20.115816,80
19,70,5,4,1,177.552399,11.155773,70
20,79,10,5,1,154.105453,12.691667,79
21,94,5,9,2,143.232193,33.720055,94
22,71,7,5,1,191.134811,38.592636,71
23,77,8,4,1,162.058167,35.630013,77
24,75,7,7,1,144.351730,19.646091,75
25,79,6,5,1,141.511032,12.691667,79
26,73,2,10,0,146.378265,20.115816,73
27,63,7,5,2,176.278625,12.011325,63
28,70,6,5,0,175.324341,35.630013,70
29,64,5,5,2,213.560577,20.115816,64
30,74,9,8,4,145.227524,10.349608,74
31,73,7,6,1,159.690826,11.155773,73
32,73,9,6,2,159.558182,12.691667,73
33,79,6,8,1,177.229904,12.011325,79
34,78,6,6,0,151.132477,11.155773,78
35,85,9,8,3,138.981415,12.691667,85
36,83,13,7,3,144.259933,17.681482,83
37,73,7,4,0,179.347672,43.274292,73
38,79,9,8,4,152.075424,12.691667,79
39,60,5,4,1,191.487686,27.889433,60
40,68,6,5,1,168.670822,19.037500,68
41,71,6,6,1,193.577911,12.691667,71
42,76,5,6,1,158.262970,12.691667,76
43,79,6,8,1,153.844910,20.115816,79
44,73,4,6,1,176.440247,12.691667,73
45,67,6,9,2,224.201813,66.850113,67
46,85,5,7,0,160.318024,22.370153,85
47,78,8,5,1,176.126236,31.164268,78
48,68,7,6,0,163.383270,12.691667,68
49,76,7,7,1,177.867767,29.469137,76
50,86,6,5,2,145.675873,12.691667,86
51,81,6,9,0,147.435440,12.691667,81
52,76,5,8,2,181.481110,20.115816,76
53,63,9,4,0,188.404846,12.691667,63
54,74,3,5,0,188.779404,51.023239,74
55,71,5,4,1,192.810394,35.630013,71
56,81,5,9,3,153.956314,12.691667,81
57,83,7,3,1,152.046051,12.691667,83
58,74,5,5,0,153.971695,41.107521,74
59,79,5,10,1,150.051651,11.155773,79
60,70,3,3,0,169.797623,25.902905,70
61,83,8,4,0,143.237137,20.115816,83
62,74,6,5,1,185.327530,29.469137,74
63,76,6,9,0,154.939987,33.720055,76
64,71,4,2,0,194.767319,29.469137,71
65,85,7,8,1,158.180862,17.681482,85
66,72,6,4,1,164.850784,12.691667,72
67,82,7,6,3,155.795929,12.691667,82
68,76,8,6,0,184.904739,12.691667,76
69,72,7,7,2,171.944855,10.349608,72
70,80,9,8,3,148.764893,10.349608,80
71,80,11,6,1,173.681046,20.115816,80
72,80,6,6,1,173.883362,20.115816,80
73,79,3,2,1,189.315643,66.717972,79
74,78,5,5,1,169.278122,12.011325,78
75,86,7,8,2,167.157257,12.011325,86
76,65,4,3,0,175.103210,20.115816,65
77,79,7,7,1,141.683792,12.691667,79
78,76,5,7,1,170.774231,19.037500,76
79,81,7,7,1,158.906830,12.691667,81
80,86,11,6,2,145.474609,20.115816,86
81,69,6,7,1,162.918457,27.889433,69
82,63,5,5,1,185.612320,20.115816,63
83,73,9,7,2,152.899506,20.115816,73
84,77,3,5,0,162.894623,20.115816,77
85,80,7,5,0,165.176163,19.037500,80
86,82,3,13,0,158.448151,12.691667,82
87,85,8,9,3,138.126709,10.349608,85
88,77,7,9,2,151.865707,12.691667,77
89,78,6,5,0,162.822067,19.037500,78
90,77,8,7,2,148.078461,20.115816,77
91,76,6,7,3,157.727005,12.691667,76
92,65,3,6,0,188.546402,20.115816,65
93,85,9,11,2,143.046677,12.691667,85
94,73,3,2,0,204.455536,70.658340,73
95,60,7,2,0,210.714157,31.318216,60
96,78,7,9,1,163.203293,20.115816,78
