P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(22,2,2)","(-40,-40,-40)",2,sqrt(2),2,1,-999
"(14,4,4)","(-40,-40,-40)",4,sqrt(2),4,1,-999
"(12,5,5)","(-32,-40,-40)",4,sqrt(2),4,1,-999
"(9,8,8)","(-20,-40,-40)",4,sqrt(2),4,1,-999
"(12,4,4)","(-20,-40,-40)",2,sqrt(2),2,1,-999
"(10,5,5)","(-16,-40,-40)",2,sqrt(2),2,1,-999
"(8,10,10)","(-16,-40,-40)",4,sqrt(2),4,1,-999
"(8,-20,10)","(-16,-40,-40)",4.0000000000000018,sqrt(2),4,1,-999
"(7,8,8)","(-10,-40,-40)",2,sqrt(2),2,1,-999
"(6,10,10)","(-8,-40,-40)",2,sqrt(2),2,1,-999
"(6,20,20)","(-8,-40,-40)",4,sqrt(2),4,1,-999
"(4,-40,20)","(-4,-40,-40)",1.9999999999999991,sqrt(2),2,1,-999
"(4,20,20)","(-4,-40,-40)",2,sqrt(2),2,1,-999
"(5,40,40)","(-4,-40,-40)",4,sqrt(2),4,1,-999
"(3,40,40)","(-2,-40,-40)",2,sqrt(2),2,1,-999
"(1,-40,-40)","(2,-40,-40)",2,sqrt(2),2,1,-999
"(3,-40,-40)","(4,-40,-40)",4,sqrt(2),4,1,-999
"(0,-20,-20)","(4,-40,-40)",2,sqrt(2),2,1,-999
"(2,-20,-20)","(8,-40,-40)",4,sqrt(2),4,1,-999
"(-2,-10,-10)","(8,-40,-40)",2,sqrt(2),2,1,-999
"(-3,-8,-8)","(10,-40,-40)",2,sqrt(2),2,1,-999
"(0,-10,-10)","(16,-40,-40)",4,sqrt(2),4,1,-999
"(-6,-5,-5)","(16,-40,-40)",2,sqrt(2),2,1,-999
"(-1,-8,-8)","(20,-40,-40)",4,sqrt(2),4,1,-999
"(-8,-4,-4)","(20,-40,-40)",2,sqrt(2),2,1,-999
"(-4,-5,-5)","(32,-40,-40)",4,sqrt(2),4,1,-999
"(-6,-4,-4)","(40,-40,-40)",4,sqrt(2),4,1,-999
"(-18,-2,-2)","(40,-40,-40)",2,sqrt(2),2,1,-999
"(5,39,40)","(-4,-39,-40)",4,sqrt(2),4,1,-999
"(3,39,40)","(-2,-39,-40)",2,sqrt(2),2,1,-999
"(1,-39,-40)","(2,-39,-40)",2,sqrt(2),2,1,-999
"(3,-39,-40)","(4,-39,-40)",4,sqrt(2),4,1,-999
"(-2,-24,-13)","(-25,-38,-40)",0.83177661667757707,ln(2),0,5,6
"(2,24,13)","(-25,-38,-40)",-0.83177661667757707,ln(2),0,5,-6
"(6,19,20)","(-8,-38,-40)",4,sqrt(2),4,1,-999
"(9,14,0)","(-6,-38,-40)",2,sqrt(2),2,1,-999
"(4,19,20)","(-4,-38,-40)",2,sqrt(2),2,1,-999
"(5,38,40)","(-4,-38,-40)",4,sqrt(2),4,1,-999
"(3,38,40)","(-2,-38,-40)",2,sqrt(2),2,1,-999
"(1,-38,-40)","(2,-38,-40)",2,sqrt(2),2,1,-999
"(3,-38,-40)","(4,-38,-40)",4,sqrt(2),4,1,-999
"(0,-19,-20)","(4,-38,-40)",2,sqrt(2),2,1,-999
"(2,-19,-20)","(8,-38,-40)",4,sqrt(2),4,1,-999
"(-9,-13,0)","(12,-38,-40)",2,sqrt(2),2,1,-999
"(9,14,0)","(12,-38,-40)",4,sqrt(2),4,1,-999
"(-4,-23,-37)","(-37,-37,-40)",-2.179570457112864,e,-6,4,-1
"(4,23,37)","(-37,-37,-40)",2.179570457112864,e,6,4,1
"(5,37,40)","(-4,-37,-40)",4,sqrt(2),4,1,-999
"(3,37,40)","(-2,-37,-40)",2,sqrt(2),2,1,-999
"(1,-37,-40)","(2,-37,-40)",2,sqrt(2),2,1,-999
"(3,-37,-40)","(4,-37,-40)",4,sqrt(2),4,1,-999
"(35,26,-32)","(13,-37,-40)",33.158936890562131,e*pi,-1,1,4
"(-35,-26,32)","(13,-37,-40)",-33.158936890562131,e*pi,1,1,-4
"(8,9,10)","(-16,-36,-40)",4,sqrt(2),4,1,-999
"(10,14,0)","(-8,-36,-40)",4,sqrt(2),4,1,-999
"(11,13,0)","(-8,-36,-40)",4,sqrt(2),4,1,-999
"(6,9,10)","(-8,-36,-40)",2,sqrt(2),2,1,-999
"(6,18,20)","(-8,-36,-40)",4,sqrt(2),4,1,-999
"(4,18,20)","(-4,-36,-40)",2,sqrt(2),2,1,-999
"(5,36,40)","(-4,-36,-40)",4,sqrt(2),4,1,-999
"(3,36,40)","(-2,-36,-40)",2,sqrt(2),2,1,-999
"(1,-36,-40)","(2,-36,-40)",2,sqrt(2),2,1,-999
"(3,-36,-40)","(4,-36,-40)",4,sqrt(2),4,1,-999
"(0,-18,-20)","(4,-36,-40)",2,sqrt(2),2,1,-999
"(-2,-22,0)","(4,-36,-40)",2,sqrt(2),2,1,-999
"(2,-18,-20)","(8,-36,-40)",4,sqrt(2),4,1,-999
"(-2,-9,-10)","(8,-36,-40)",2,sqrt(2),2,1,-999
"(0,-9,-10)","(16,-36,-40)",4,sqrt(2),4,1,-999
"(-8,-13,0)","(28,-36,-40)",4,sqrt(2),4,1,-999
"(-29,-16,-2)","(39,-36,-40)",-28.158936890497753,e*pi,6,1,-4
"(29,16,2)","(39,-36,-40)",28.158936890497753,e*pi,-6,1,4
"(9,7,8)","(-20,-35,-40)",4,sqrt(2),4,1,-999
"(7,7,8)","(-10,-35,-40)",2,sqrt(2),2,1,-999
"(5,35,40)","(-4,-35,-40)",4,sqrt(2),4,1,-999
"(3,35,40)","(-2,-35,-40)",2,sqrt(2),2,1,-999
"(1,-35,-40)","(2,-35,-40)",2,sqrt(2),2,1,-999
"(3,-35,-40)","(4,-35,-40)",4,sqrt(2),4,1,-999
"(-3,-7,-8)","(10,-35,-40)",2,sqrt(2),2,1,-999
"(-1,-7,-8)","(20,-35,-40)",4,sqrt(2),4,1,-999
"(-10,-3,-36)","(-19,-34,-40)",-8.0397342226007513,e*pi,1,2,-2
"(10,3,36)","(-19,-34,-40)",8.0397342226007513,e*pi,-1,2,2
"(6,17,20)","(-8,-34,-40)",4,sqrt(2),4,1,-999
"(10,13,0)","(-6,-34,-40)",2,sqrt(2),2,1,-999
"(4,17,20)","(-4,-34,-40)",2,sqrt(2),2,1,-999
"(5,34,40)","(-4,-34,-40)",4,sqrt(2),4,1,-999
"(3,34,40)","(-2,-34,-40)",2,sqrt(2),2,1,-999
"(1,-34,-40)","(2,-34,-40)",2,sqrt(2),2,1,-999
"(3,-34,-40)","(4,-34,-40)",4,sqrt(2),4,1,-999
"(0,-17,-20)","(4,-34,-40)",2,sqrt(2),2,1,-999
"(2,-17,-20)","(8,-34,-40)",4,sqrt(2),4,1,-999
"(-5,-14,0)","(20,-34,-40)",4,sqrt(2),4,1,-999
"(5,33,40)","(-4,-33,-40)",4,sqrt(2),4,1,-999
"(3,33,40)","(-2,-33,-40)",2,sqrt(2),2,1,-999
"(1,-33,-40)","(2,-33,-40)",2,sqrt(2),2,1,-999
"(3,-33,-40)","(4,-33,-40)",4,sqrt(2),4,1,-999
"(12,4,5)","(-32,-32,-40)",4,sqrt(2),4,1,-999
"(-6,0,-36)","(-16,-32,-40)",-3.8209479177719556,1/sqrt(pi),-1,1,-5
"(10,4,5)","(-16,-32,-40)",2,sqrt(2),2,1,-999
"(8,8,10)","(-16,-32,-40)",4,sqrt(2),4,1,-999
"(6,0,36)","(-16,-32,-40)",3.8209479177719556,1/sqrt(pi),1,1,5
"(6,8,10)","(-8,-32,-40)",2,sqrt(2),2,1,-999
"(6,16,20)","(-8,-32,-40)",4,sqrt(2),4,1,-999
"(-4,4,-20)","(-4,-32,-40)",0.5,sqrt(2),-4,2,-999
"(4,16,20)","(-4,-32,-40)",2,sqrt(2),2,1,-999
"(5,32,40)","(-4,-32,-40)",4,sqrt(2),4,1,-999
"(-2,8,-40)","(-1,-32,-40)",0.25,sqrt(2),-4,1,-999
"(3,32,40)","(-2,-32,-40)",2,sqrt(2),2,1,-999
"(-6,-14,0)","(0,-32,-40)",4.0000000000000018,sqrt(2),4,1,-999
"(0,-14,0)","(0,-32,-40)",4,sqrt(2),4,1,-999
"(1,-32,-40)","(2,-32,-40)",2,sqrt(2),2,1,-999
"(3,-32,-40)","(4,-32,-40)",4,sqrt(2),4,1,-999
"(0,-16,-20)","(4,-32,-40)",2,sqrt(2),2,1,-999
"(2,-16,-20)","(8,-32,-40)",4,sqrt(2),4,1,-999
"(-2,-8,-10)","(8,-32,-40)",2,sqrt(2),2,1,-999
"(-3,13,0)","(8,-32,-40)",0.49999999999997913,sqrt(2),-4,2,-999
"(9,13,0)","(8,-32,-40)",2.0000000000000009,sqrt(2),2,1,-999
"(0,-22,0)","(8,-32,-40)",4,sqrt(2),4,1,-999
"(-6,-14,0)","(8,-32,-40)",2,sqrt(2),2,1,-999
"(0,-8,-10)","(16,-32,-40)",4,sqrt(2),4,1,-999
"(-6,-4,-5)","(16,-32,-40)",2,sqrt(2),2,1,-999
"(-2,-34,-14)","(18,-32,-40)",-0.88290709022632829,sqrt(e),-1,3,-1
"(2,34,14)","(18,-32,-40)",0.88290709022632829,sqrt(e),1,3,1
"(-4,-4,-5)","(32,-32,-40)",4,sqrt(2),4,1,-999
"(-10,1,-5)","(32,-32,-40)",1.9999999999999982,sqrt(2),2,1,-999
"(5,31,40)","(-4,-31,-40)",4,sqrt(2),4,1,-999
"(3,31,40)","(-2,-31,-40)",2,sqrt(2),2,1,-999
"(1,-31,-40)","(2,-31,-40)",2,sqrt(2),2,1,-999
"(3,-31,-40)","(4,-31,-40)",4,sqrt(2),4,1,-999
"(14,3,4)","(-40,-30,-40)",4,sqrt(2),4,1,-999
"(12,3,4)","(-20,-30,-40)",2,sqrt(2),2,1,-999
"(9,6,8)","(-20,-30,-40)",4,sqrt(2),4,1,-999
"(7,6,8)","(-10,-30,-40)",2,sqrt(2),2,1,-999
"(6,15,20)","(-8,-30,-40)",4,sqrt(2),4,1,-999
"(4,15,20)","(-4,-30,-40)",2,sqrt(2),2,1,-999
"(5,30,40)","(-4,-30,-40)",4,sqrt(2),4,1,-999
"(3,30,40)","(-2,-30,-40)",2,sqrt(2),2,1,-999
"(1,-30,-40)","(2,-30,-40)",2,sqrt(2),2,1,-999
"(3,-30,-40)","(4,-30,-40)",4,sqrt(2),4,1,-999
"(0,-15,-20)","(4,-30,-40)",2,sqrt(2),2,1,-999
"(2,-15,-20)","(8,-30,-40)",4,sqrt(2),4,1,-999
"(-3,-6,-8)","(10,-30,-40)",2,sqrt(2),2,1,-999
"(-8,-13,0)","(10,-30,-40)",2,sqrt(2),2,1,-999
"(-1,-6,-8)","(20,-30,-40)",4,sqrt(2),4,1,-999
"(-8,-3,-4)","(20,-30,-40)",2,sqrt(2),2,1,-999
"(-6,-3,-4)","(40,-30,-40)",4,sqrt(2),4,1,-999
"(5,29,40)","(-4,-29,-40)",4,sqrt(2),4,1,-999
"(3,29,40)","(-2,-29,-40)",2,sqrt(2),2,1,-999
"(1,-29,-40)","(2,-29,-40)",2,sqrt(2),2,1,-999
"(3,-29,-40)","(4,-29,-40)",4,sqrt(2),4,1,-999
"(9,6,-6)","(39,-29,-40)",-2.678460969067098,sqrt(3),-3,5,-6
"(-9,-6,6)","(39,-29,-40)",2.678460969067098,sqrt(3),3,5,6
"(8,7,10)","(-16,-28,-40)",4,sqrt(2),4,1,-999
"(-2,6,-20)","(-8,-28,-40)",3.9999999999999991,sqrt(2),4,1,-999
"(6,7,10)","(-8,-28,-40)",2,sqrt(2),2,1,-999
"(6,14,20)","(-8,-28,-40)",4,sqrt(2),4,1,-999
"(10,13,0)","(-4,-28,-40)",4,sqrt(2),4,1,-999
"(8,14,0)","(-4,-28,-40)",2,sqrt(2),2,1,-999
"(7,22,0)","(-4,-28,-40)",4,sqrt(2),4,1,-999
"(4,14,20)","(-4,-28,-40)",2,sqrt(2),2,1,-999
"(5,28,40)","(-4,-28,-40)",4,sqrt(2),4,1,-999
"(3,28,40)","(-2,-28,-40)",2,sqrt(2),2,1,-999
"(1,-28,-40)","(2,-28,-40)",2,sqrt(2),2,1,-999
"(3,-28,-40)","(4,-28,-40)",4,sqrt(2),4,1,-999
"(0,-14,-20)","(4,-28,-40)",2,sqrt(2),2,1,-999
"(2,-14,-20)","(8,-28,-40)",4,sqrt(2),4,1,-999
"(-2,-7,-10)","(8,-28,-40)",2,sqrt(2),2,1,-999
"(0,-7,-10)","(16,-28,-40)",4,sqrt(2),4,1,-999
"(-2,-16,-1)","(20,-28,-40)",1.9014933613062626,Lemniscate,2,3,-999
"(-7,-13,0)","(24,-28,-40)",4,sqrt(2),4,1,-999
"(5,27,40)","(-4,-27,-40)",4,sqrt(2),4,1,-999
"(3,27,40)","(-2,-27,-40)",2,sqrt(2),2,1,-999
"(1,-27,-40)","(2,-27,-40)",2,sqrt(2),2,1,-999
"(3,-27,-40)","(4,-27,-40)",4,sqrt(2),4,1,-999
"(6,13,20)","(-8,-26,-40)",4,sqrt(2),4,1,-999
"(1,14,-40)","(-4,-26,-40)",4,sqrt(2),4,1,-999
"(9,14,0)","(-4,-26,-40)",4,sqrt(2),4,1,-999
"(9,13,0)","(-4,-26,-40)",2,sqrt(2),2,1,-999
"(4,13,20)","(-4,-26,-40)",2,sqrt(2),2,1,-999
"(5,26,40)","(-4,-26,-40)",4,sqrt(2),4,1,-999
"(3,26,40)","(-2,-26,-40)",2,sqrt(2),2,1,-999
"(1,-26,-40)","(2,-26,-40)",2,sqrt(2),2,1,-999
