========================================
Ramanujan Machine (GPU)
========================================
Polynomial degree: 2
Coefficient range: [-10, 10]
CF evaluation depth: 500 terms
Total candidates: 85766121
GPU: 0
Constants: pi, e, ln(2), gamma, Catalan, zeta(3), Gauss, Lemniscate, sqrt(2), phi
========================================

  HIT: P=(7,2,2) Q=(-10,-10,-10) → 2 = ^(2/1)
  HIT: P=(4,5,5) Q=(-4,-10,-10) → 2 = ^(2/1)
  HIT: P=(6,5,5) Q=(-8,-10,-10) → 4 = ^(4/1)
  HIT: P=(4,-10,5) Q=(-4,-10,-10) → 2 = ^(2/1)
  HIT: P=(5,10,10) Q=(-4,-10,-10) → 4 = ^(4/1)
  HIT: P=(8,0,2) Q=(-5,-10,-10) → 0.499999999999999 = ^(-4/2)
  HIT: P=(3,10,10) Q=(-2,-10,-10) → 2 = ^(2/1)
  HIT: P=(1,-10,-10) Q=(2,-10,-10) → 2 = ^(2/1)
  HIT: P=(0,-5,-5) Q=(4,-10,-10) → 2 = ^(2/1)
  HIT: P=(3,-10,-10) Q=(4,-10,-10) → 4 = ^(4/1)
  HIT: P=(5,9,10) Q=(-4,-9,-10) → 4 = ^(4/1)
  HIT: P=(5,7,0) Q=(-2,-9,-10) → 2 = ^(2/1)
  HIT: P=(3,9,10) Q=(-2,-9,-10) → 2 = ^(2/1)
  HIT: P=(1,-9,-10) Q=(2,-9,-10) → 2 = ^(2/1)
  HIT: P=(3,-9,-10) Q=(4,-9,-10) → 4 = ^(4/1)
  HIT: P=(6,4,5) Q=(-8,-8,-10) → 4 = ^(4/1)
  HIT: P=(5,8,10) Q=(-4,-8,-10) → 4 = ^(4/1)
  HIT: P=(-4,1,-5) Q=(-4,-8,-10) → 0.5 = ^(-4/2)
  HIT: P=(4,4,5) Q=(-4,-8,-10) → 2 = ^(2/1)
  HIT: P=(2,-5,-5) Q=(8,-10,-10) → 4 = ^(4/1)
  HIT: P=(6,7,0) Q=(0,-8,-10) → 4 = ^(4/1)
  HIT: P=(-3,-2,-2) Q=(10,-10,-10) → 2 = ^(2/1)
  HIT: P=(-3,-7,0) Q=(0,-8,-10) → 2 = ^(2/1)
  HIT: P=(0,-7,0) Q=(0,-8,-10) → 2 = ^(2/1)
  HIT: P=(-2,2,-10) Q=(-1,-8,-10) → 0.25 = ^(-4/1)
  HIT: P=(3,8,10) Q=(-2,-8,-10) → 2 = ^(2/1)
  HIT: P=(0,-4,-5) Q=(4,-8,-10) → 2 = ^(2/1)
  HIT: P=(3,-8,-10) Q=(4,-8,-10) → 4 = ^(4/1)
  HIT: P=(2,-4,-5) Q=(8,-8,-10) → 4 = ^(4/1)
  HIT: P=(1,-8,-10) Q=(2,-8,-10) → 2 = ^(2/1)
  HIT: P=(1,-7,-10) Q=(2,-7,-10) → 2 = ^(2/1)
  HIT: P=(3,-7,-10) Q=(4,-7,-10) → 4 = ^(4/1)
  HIT: P=(5,7,10) Q=(-4,-7,-10) → 4 = ^(4/1)
  HIT: P=(3,7,10) Q=(-2,-7,-10) → 2 = ^(2/1)
  HIT: P=(-1,3,-10) Q=(-2,-7,-10) → 2 = ^(2/1)
  HIT: P=(6,3,5) Q=(-8,-6,-10) → 4 = ^(4/1)
  HIT: P=(4,3,5) Q=(-4,-6,-10) → 2 = ^(2/1)
  HIT: P=(5,6,10) Q=(-4,-6,-10) → 4 = ^(4/1)
  HIT: P=(3,6,10) Q=(-2,-6,-10) → 2 = ^(2/1)
  HIT: P=(0,-3,-5) Q=(4,-6,-10) → 2 = ^(2/1)
  HIT: P=(1,-6,-10) Q=(2,-6,-10) → 2 = ^(2/1)
  HIT: P=(-2,-7,0) Q=(4,-6,-10) → 2 = ^(2/1)
  HIT: P=(3,-6,-10) Q=(4,-6,-10) → 4 = ^(4/1)
  HIT: P=(2,-3,-5) Q=(8,-6,-10) → 4 = ^(4/1)
  HIT: P=(7,1,2) Q=(-10,-5,-10) → 2 = ^(2/1)
  1.2% (1000000/85766121) 45 hits, 9579281 candidates/sec, ETA 9s
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
