a_coeffs,b_coeffs,value,constant,c0,c1,c2
"(2,9)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,9)","(7,3,-10)",4,sqrt(2),4,1,-999
"(5,7)","(4,-3,-10)",4,sqrt(2),4,1,-999
"(2,-10)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,10)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,10)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(8,2,-10)",4,sqrt(2),4,1,-999
"(-2,-7)","(4,-6,-10)",2,sqrt(2),2,1,-999
"(2,-10)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(8,2,-10)",2,sqrt(2),2,1,-999
"(2,-10)","(7,3,-10)",2,sqrt(2),2,1,-999
"(2,8)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,8)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,2)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,2)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,10)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,10)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,4)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,4)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,5)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,5)","(10,0,-10)",4,sqrt(2),4,1,-999
"(4,-10)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(7,3,-10)",4,sqrt(2),4,1,-999
"(4,7)","(0,-4,-10)",2,sqrt(2),2,1,-999
"(2,-6)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,9)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,9)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,10)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,10)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,0)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,0)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,6)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,6)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,7)","(4,6,-10)",2,sqrt(2),2,1,-999
"(2,10)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,10)","(0,10,-10)",4,sqrt(2),4,1,-999
"(5,7)","(-2,-9,-10)",2,sqrt(2),2,1,-999
"(2,-7)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(0,10,-10)",2,sqrt(2),2,1,-999
"(2,-10)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(0,10,-10)",2,sqrt(2),2,1,-999
"(2,2)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,2)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(9,1,-10)",4,sqrt(2),4,1,-999
"(4,-6)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(8,2,-10)",4,sqrt(2),4,1,-999
"(4,-5)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,6)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,6)","(10,0,-10)",4,sqrt(2),4,1,-999
"(-3,-7)","(0,-8,-10)",2.0000000000000009,sqrt(2),2,1,-999
"(0,-7)","(0,-8,-10)",2,sqrt(2),2,1,-999
"(2,-4)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(8,2,-10)",4,sqrt(2),4,1,-999
"(4,-1)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,0)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,0)","(10,0,-10)",4,sqrt(2),4,1,-999
"(0,-7)","(2,1,-10)",4,sqrt(2),4,1,-999
"(0,-7)","(8,-2,-10)",4,sqrt(2),4,1,-999
"(0,-7)","(0,4,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-10)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,5)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,5)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,6)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,6)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,4)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,4)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,5)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,5)","(7,3,-10)",4,sqrt(2),4,1,-999
"(-1,-7)","(2,-1,-10)",2,sqrt(2),2,1,-999
"(6,7)","(0,-8,-10)",4,sqrt(2),4,1,-999
"(2,0)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,0)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,1)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,1)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,3)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,3)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,8)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,8)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(9,1,-10)",2,sqrt(2),2,1,-999
"(0,7)","(0,-2,-10)",4,sqrt(2),4,1,-999
"(4,3)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,4)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,4)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,2)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,2)","(0,10,-10)",4,sqrt(2),4,1,-999
