mask,digits,cardinality,density,uncovered
1,"{1}",1,0.0029,999971
2,"{2}",1,0.0016,999984
3,"{1,2}",2,57.982,420180
4,"{3}",1,0.0012,999988
5,"{1,3}",2,23.0092,769908
6,"{2,3}",2,0.9238,990762
7,"{1,2,3}",3,99.9973,27
8,"{4}",1,0.001,999990
9,"{1,4}",2,7.9261,920739
10,"{2,4}",2,0.3892,996108
11,"{1,2,4}",3,99.9936,64
12,"{3,4}",2,0.1169,998831
13,"{1,3,4}",3,99.4333,5667
14,"{2,3,4}",3,24.6132,753868
15,"{1,2,3,4}",4,99.9998,2
16,"{5}",1,0.0009,999991
17,"{1,5}",2,3.7524,962476
18,"{2,5}",2,0.2153,997847
19,"{1,2,5}",3,99.9627,373
20,"{3,5}",2,0.0737,999263
21,"{1,3,5}",3,98.7217,12783
22,"{2,3,5}",3,16.0505,839495
23,"{1,2,3,5}",4,99.9997,3
24,"{4,5}",2,0.0421,999579
25,"{1,4,5}",3,77.6313,223687
26,"{2,4,5}",3,7.7765,922235
27,"{1,2,4,5}",4,99.9997,3
28,"{3,4,5}",3,2.2568,977432
29,"{1,3,4,5}",4,99.9964,36
30,"{2,3,4,5}",4,84.0646,159354
31,"{1,2,3,4,5}",5,100.0,0
32,"{6}",1,0.0008,999992
33,"{1,6}",2,2.1705,978295
34,"{2,6}",2,0.1358,998642
35,"{1,2,6}",3,99.828,1720
36,"{3,6}",2,0.057,999430
37,"{1,3,6}",3,95.653,43470
38,"{2,3,6}",3,11.6778,883222
39,"{1,2,3,6}",4,99.9997,3
40,"{4,6}",2,0.0306,999694
41,"{1,4,6}",3,74.8903,251097
42,"{2,4,6}",3,5.3962,946038
43,"{1,2,4,6}",4,99.9998,2
44,"{3,4,6}",3,1.5727,984273
45,"{1,3,4,6}",4,99.9964,36
46,"{2,3,4,6}",4,74.9406,250594
47,"{1,2,3,4,6}",5,99.9999,1
48,"{5,6}",2,0.0199,999801
49,"{1,5,6}",3,43.4333,565667
50,"{2,5,6}",3,3.6154,963846
51,"{1,2,5,6}",4,99.9976,24
52,"{3,5,6}",3,1.0086,989914
53,"{1,3,5,6}",4,99.9929,71
54,"{2,3,5,6}",4,60.8832,391168
55,"{1,2,3,5,6}",5,99.9999,1
56,"{4,5,6}",3,0.521,994790
57,"{1,4,5,6}",4,99.5331,4669
58,"{2,4,5,6}",4,37.6467,623533
59,"{1,2,4,5,6}",5,100.0,0
60,"{3,4,5,6}",4,12.793,872070
61,"{1,3,4,5,6}",5,99.9995,5
62,"{2,3,4,5,6}",5,99.1446,8554
63,"{1,2,3,4,5,6}",6,100.0,0
64,"{7}",1,0.0008,999992
65,"{1,7}",2,1.4305,985695
66,"{2,7}",2,0.1157,998843
67,"{1,2,7}",3,99.4612,5388
68,"{3,7}",2,0.0437,999563
69,"{1,3,7}",3,89.518,104820
70,"{2,3,7}",3,9.0632,909368
71,"{1,2,3,7}",4,99.9992,8
72,"{4,7}",2,0.0242,999758
73,"{1,4,7}",3,64.0974,359026
74,"{2,4,7}",3,4.2324,957676
75,"{1,2,4,7}",4,99.9995,5
76,"{3,4,7}",3,1.2401,987599
77,"{1,3,4,7}",4,99.9931,69
78,"{2,3,4,7}",4,68.468,315320
79,"{1,2,3,4,7}",5,100.0,0
80,"{5,7}",2,0.0171,999829
81,"{1,5,7}",3,43.4232,565768
82,"{2,5,7}",3,2.6206,973794
83,"{1,2,5,7}",4,99.999,10
84,"{3,5,7}",3,0.7887,992113
85,"{1,3,5,7}",4,99.9933,67
86,"{2,3,5,7}",4,53.3554,466446
87,"{1,2,3,5,7}",5,100.0,0
88,"{4,5,7}",3,0.433,995670
89,"{1,4,5,7}",4,99.5327,4673
90,"{2,4,5,7}",4,31.6389,683611
91,"{1,2,4,5,7}",5,100.0,0
92,"{3,4,5,7}",4,10.4695,895305
93,"{1,3,4,5,7}",5,99.9996,4
94,"{2,3,4,5,7}",5,98.4429,15571
95,"{1,2,3,4,5,7}",6,100.0,0
96,"{6,7}",2,0.015,999850
97,"{1,6,7}",3,23.9803,760197
98,"{2,6,7}",3,1.9576,980424
99,"{1,2,6,7}",4,99.9915,85
100,"{3,6,7}",3,0.5819,994181
101,"{1,3,6,7}",4,99.9453,547
102,"{2,3,6,7}",4,43.3033,566967
103,"{1,2,3,6,7}",5,99.9999,1
104,"{4,6,7}",3,0.3189,996811
105,"{1,4,6,7}",4,98.8504,11496
106,"{2,4,6,7}",4,24.5481,754519
107,"{1,2,4,6,7}",5,100.0,0
108,"{3,4,6,7}",4,7.8373,921627
109,"{1,3,4,6,7}",5,99.9989,11
110,"{2,3,4,6,7}",5,96.7772,32228
111,"{1,2,3,4,6,7}",6,100.0,0
112,"{5,6,7}",3,0.1894,998106
113,"{1,5,6,7}",4,90.5258,94742
114,"{2,5,6,7}",4,16.35,836500
115,"{1,2,5,6,7}",5,99.9994,6
116,"{3,5,6,7}",4,5.2694,947306
117,"{1,3,5,6,7}",5,99.9992,8
118,"{2,3,5,6,7}",5,91.6944,83056
119,"{1,2,3,5,6,7}",6,100.0,0
120,"{4,5,6,7}",4,2.9551,970449
121,"{1,4,5,6,7}",5,99.9753,247
122,"{2,4,5,6,7}",5,75.6618,243382
123,"{1,2,4,5,6,7}",6,100.0,0
124,"{3,4,5,6,7}",5,36.1895,638105
125,"{1,3,4,5,6,7}",6,99.9997,3
126,"{2,3,4,5,6,7}",6,99.9438,562
127,"{1,2,3,4,5,6,7}",7,100.0,0
128,"{8}",1,0.0007,999993
129,"{1,8}",2,1.0235,989765
130,"{2,8}",2,0.0894,999106
131,"{1,2,8}",3,98.8254,11746
132,"{3,8}",2,0.0337,999663
133,"{1,3,8}",3,86.021,139790
134,"{2,3,8}",3,7.4571,925429
135,"{1,2,3,8}",4,99.9993,7
136,"{4,8}",2,0.0198,999802
137,"{1,4,8}",3,55.8181,441819
138,"{2,4,8}",3,3.3194,966806
139,"{1,2,4,8}",4,99.9995,5
140,"{3,4,8}",3,1.0454,989546
141,"{1,3,4,8}",4,99.9907,93
142,"{2,3,4,8}",4,60.6636,393364
143,"{1,2,3,4,8}",5,99.9999,1
144,"{5,8}",2,0.015,999850
145,"{1,5,8}",3,35.9812,640188
146,"{2,5,8}",3,2.1958,978042
147,"{1,2,5,8}",4,99.9983,17
148,"{3,5,8}",3,0.6592,993408
149,"{1,3,5,8}",4,99.9881,119
150,"{2,3,5,8}",4,46.3138,536862
151,"{1,2,3,5,8}",5,100.0,0
152,"{4,5,8}",3,0.3508,996492
153,"{1,4,5,8}",4,99.0941,9059
154,"{2,4,5,8}",4,27.453,725470
155,"{1,2,4,5,8}",5,100.0,0
156,"{3,4,5,8}",4,8.8294,911706
157,"{1,3,4,5,8}",5,99.9993,7
158,"{2,3,4,5,8}",5,97.7049,22951
159,"{1,2,3,4,5,8}",6,100.0,0
160,"{6,8}",2,0.0128,999872
161,"{1,6,8}",3,25.0116,749884
162,"{2,6,8}",3,1.5471,984529
163,"{1,2,6,8}",4,99.995,50
164,"{3,6,8}",3,0.5057,994943
165,"{1,3,6,8}",4,99.9479,521
166,"{2,3,6,8}",4,38.0657,619343
167,"{1,2,3,6,8}",5,100.0,0
168,"{4,6,8}",3,0.2599,997401
169,"{1,4,6,8}",4,98.8714,11286
170,"{2,4,6,8}",4,19.9572,800428
171,"{1,2,4,6,8}",5,100.0,0
172,"{3,4,6,8}",4,6.5671,934329
173,"{1,3,4,6,8}",5,99.9995,5
174,"{2,3,4,6,8}",5,94.9354,50646
175,"{1,2,3,4,6,8}",6,100.0,0
176,"{5,6,8}",3,0.1753,998247
177,"{1,5,6,8}",4,91.0706,89294
178,"{2,5,6,8}",4,14.198,858020
179,"{1,2,5,6,8}",5,99.9998,2
180,"{3,5,6,8}",4,4.4932,955068
181,"{1,3,5,6,8}",5,99.9995,5
182,"{2,3,5,6,8}",5,89.1374,108626
183,"{1,2,3,5,6,8}",6,100.0,0
184,"{4,5,6,8}",4,2.5092,974908
185,"{1,4,5,6,8}",5,99.981,190
186,"{2,4,5,6,8}",5,71.1994,288006
187,"{1,2,4,5,6,8}",6,100.0,0
188,"{3,4,5,6,8}",5,32.2875,677125
189,"{1,3,4,5,6,8}",6,99.9998,2
190,"{2,3,4,5,6,8}",6,99.9213,787
191,"{1,2,3,4,5,6,8}",7,100.0,0
192,"{7,8}",2,0.0079,999921
193,"{1,7,8}",3,14.387,856130
194,"{2,7,8}",3,1.1752,988248
195,"{1,2,7,8}",4,99.9794,206
196,"{3,7,8}",3,0.3918,996082
197,"{1,3,7,8}",4,99.7324,2676
198,"{2,3,7,8}",4,31.8304,681696
199,"{1,2,3,7,8}",5,99.9997,3
200,"{4,7,8}",3,0.2095,997905
201,"{1,4,7,8}",4,95.9119,40881
202,"{2,4,7,8}",4,17.1375,828625
203,"{1,2,4,7,8}",5,99.9999,1
204,"{3,4,7,8}",4,5.3909,946091
205,"{1,3,4,7,8}",5,99.9987,13
206,"{2,3,4,7,8}",5,92.7317,72683
207,"{1,2,3,4,7,8}",6,100.0,0
208,"{5,7,8}",3,0.1593,998407
