subset,digits,hausdorff_dim,density_1e6,covered_1e6,uncovered_1e6
"1","{1}",,0.00290000,29,999971
"1,2","{1,2}",,57.98200000,579820,420180
"1,3","{1,3}",,23.00920000,230092,769908
"2,3","{2,3}",,0.92380000,9238,990762
"1,2,3","{1,2,3}",,99.99730000,999973,27
"1,2,4","{1,2,4}",,99.99360000,999936,64
"1,3,5","{1,3,5}",,98.72170000,987217,12783
"1,2,3,4","{1,2,3,4}",,99.99980000,999998,2
"2,3,4,5","{2,3,4,5}",,84.06460000,840646,159354
"1,2,3,4,5","{1,2,3,4,5}",,100.00000000,1000000,0
"1,2,3,4,5,6","{1,2,3,4,5,6}",,100.00000000,1000000,0
