d,R(d)
1,6
2,10
3,20
4,20
5,40
6,15
7,45
8,20
9,40
10,20
11,80
12,20
13,80
14,40
15,20
16,60
17,100
18,40
19,100
20,40
21,60
22,40
23,120
24,60
25,80
26,60
27,100
28,40
29,140
30,60
31,140
32,60
33,80
34,80
35,100
36,40
37,165
38,80
39,100
40,80
41,160
42,60
43,160
44,60
45,120
46,100
47,180
48,65
49,160
50,120
51,120
52,80
53,200
54,40
55,140
56,100
57,180
58,80
59,220
60,60
61,240
62,120
63,140
64,160
65,160
66,40
67,220
68,100
69,140
70,80
71,300
72,60
73,280
74,120
75,180
76,160
77,160
78,80
79,260
80,100
81,180
82,140
83,260
84,85
85,205
86,140
87,200
88,140
89,340
90,60
91,220
92,160
93,180
94,140
95,200
96,100
97,340
98,160
99,180
100,160
101,240
102,80
103,300
104,140
105,240
106,160
107,320
108,100
109,340
110,140
111,320
112,80
113,360
114,60
115,220
116,180
117,180
118,220
119,300
120,105
121,320
122,180
123,200
124,160
125,320
126,40
127,450
128,180
129,240
130,140
131,400
132,180
133,285
134,260
135,220
136,160
137,380
138,120
139,340
140,160
141,260
142,200
143,320
144,120
145,380
146,180
147,180
148,180
149,340
150,120
151,400
152,180
153,260
154,200
155,380
156,145
157,400
158,240
159,300
160,140
161,380
162,200
163,440
164,220
165,240
166,180
167,440
168,140
169,470
170,120
171,220
172,300
173,440
174,160
175,280
176,180
177,300
178,240
179,500
180,100
181,580
182,185
183,300
184,180
185,300
186,140
187,340
188,360
189,260
190,140
191,500
192,105
193,500
194,200
195,240
196,320
197,500
198,180
199,580
200,140
201,300
202,340
203,380
204,160
205,385
206,300
207,380
208,300
209,460
210,60
211,500
212,280
213,300
214,240
215,420
216,140
217,480
218,265
219,400
220,200
221,380
222,200
223,600
224,240
225,300
226,240
227,540
228,160
229,480
230,220
231,345
232,280
233,580
234,160
235,440
236,220
237,360
238,240
239,640
240,100
241,620
242,340
243,340
244,200
245,460
246,220
247,400
248,280
249,380
250,200
251,620
252,220
253,510
254,360
255,280
256,300
257,600
258,180
259,440
260,180
261,380
262,280
263,620
264,200
265,520
266,180
267,380
268,340
269,580
270,120
271,680
272,320
273,420
274,340
275,460
276,200
277,620
278,320
279,420
280,225
281,560
282,140
283,650
284,300
285,380
286,240
287,700
288,280
289,570
290,180
291,380
292,360
293,620
294,200
295,500
296,320
297,360
298,400
299,480
300,140
301,660
302,370
303,460
304,260
305,620
306,280
307,640
308,380
309,450
310,240
311,660
312,140
313,560
314,400
315,280
316,320
317,680
318,220
319,520
320,240
321,580
322,280
323,600
324,340
325,505
326,340
327,500
328,320
329,585
330,180
331,680
332,360
333,460
334,300
335,500
336,160
337,800
338,430
339,580
340,240
341,620
342,320
343,580
344,360
345,360
346,380
347,760
348,300
