d,alpha,ratio,a1,a2,max_digit
1,1,1.00000000,1,0,1
2,1,0.50000000,1,1,1
3,1,0.33333333,2,1,2
4,1,0.25000000,3,1,3
5,1,0.20000000,4,1,4
6,1,0.16666667,5,1,5
7,2,0.28571429,3,1,3
8,3,0.37500000,2,1,2
9,2,0.22222222,4,1,4
10,3,0.30000000,3,2,3
11,2,0.18181818,5,1,5
12,5,0.41666667,2,2,2
13,3,0.23076923,4,2,4
14,3,0.21428571,4,1,4
15,4,0.26666667,3,1,3
16,3,0.18750000,5,2,5
17,3,0.17647059,5,1,5
18,5,0.27777778,3,1,3
19,4,0.21052632,4,1,4
20,7,0.35000000,2,1,5
21,4,0.19047619,5,3,5
22,5,0.22727273,4,2,4
23,4,0.17391304,5,1,5
24,5,0.20833333,4,1,4
25,6,0.24000000,4,5,5
26,5,0.19230769,5,4,5
27,5,0.18518519,5,2,5
28,5,0.17857143,5,1,5
29,5,0.17241379,5,1,5
30,7,0.23333333,4,3,4
31,6,0.19354839,5,5,5
32,7,0.21875000,4,1,4
33,7,0.21212121,4,1,4
34,7,0.20588235,4,1,5
35,6,0.17142857,5,1,5
36,11,0.30555556,3,3,3
37,7,0.18918919,5,3,5
38,7,0.18421053,5,2,5
39,7,0.17948718,5,1,5
40,7,0.17500000,5,1,5
41,7,0.17073171,5,1,5
42,11,0.26190476,3,1,4
43,8,0.18604651,5,2,5
44,13,0.29545455,3,2,3
45,8,0.17777778,5,1,5
46,11,0.23913043,4,5,5
47,9,0.19148936,5,4,5
48,11,0.22916667,4,2,4
49,9,0.18367347,5,2,5
50,9,0.18000000,5,1,5
51,11,0.21568627,4,1,4
52,9,0.17307692,5,1,5
53,10,0.18867925,5,3,5
54,17,0.31481481,3,5,5
55,12,0.21818182,4,1,4
56,13,0.23214286,4,3,4
57,10,0.17543860,5,1,5
58,11,0.18965517,5,3,5
59,11,0.18644068,5,2,5
60,11,0.18333333,5,2,5
61,11,0.18032787,5,1,5
62,11,0.17741935,5,1,5
63,11,0.17460317,5,1,5
64,11,0.17187500,5,1,5
65,12,0.18461538,5,2,5
66,25,0.37878788,2,1,3
67,12,0.17910448,5,1,5
68,13,0.19117647,5,4,5
69,13,0.18840580,5,3,5
70,13,0.18571429,5,2,5
71,13,0.18309859,5,2,5
72,13,0.18055556,5,1,5
73,13,0.17808219,5,1,5
74,13,0.17567568,5,1,5
75,13,0.17333333,5,1,5
76,13,0.17105263,5,1,5
77,16,0.20779221,4,1,4
78,17,0.21794872,4,1,4
79,14,0.17721519,5,1,5
80,17,0.21250000,4,1,4
81,14,0.17283951,5,1,5
82,17,0.20731707,4,1,4
83,16,0.19277108,5,5,5
84,19,0.22619048,4,2,4
85,16,0.18823529,5,3,5
86,15,0.17441860,5,1,5
87,16,0.18390805,5,2,5
88,17,0.19318182,5,5,5
89,16,0.17977528,5,1,5
90,17,0.18888889,5,3,5
91,16,0.17582418,5,1,5
92,17,0.18478261,5,2,5
93,16,0.17204301,5,1,5
94,25,0.26595745,3,1,5
95,17,0.17894737,5,1,5
96,17,0.17708333,5,1,5
97,17,0.17525773,5,1,5
98,17,0.17346939,5,1,5
99,17,0.17171717,5,1,5
100,19,0.19000000,5,3,5
101,18,0.17821782,5,1,5
102,19,0.18627451,5,2,5
103,18,0.17475728,5,1,5
104,27,0.25961538,3,1,5
105,22,0.20952381,4,1,4
106,19,0.17924528,5,1,5
107,19,0.17757009,5,1,5
108,19,0.17592593,5,1,5
109,19,0.17431193,5,1,5
110,19,0.17272727,5,1,5
111,19,0.17117117,5,1,5
112,31,0.27678571,3,1,3
113,20,0.17699115,5,1,5
114,25,0.21929825,4,1,4
115,22,0.19130435,5,4,5
116,25,0.21551724,4,1,4
117,20,0.17094017,5,1,5
118,21,0.17796610,5,1,5
119,22,0.18487395,5,2,5
120,23,0.19166667,5,4,5
121,21,0.17355372,5,1,5
122,21,0.17213115,5,1,5
123,22,0.17886179,5,1,5
